global_step,epoch,batch,samples_seen,batch_size,train_loss,state_loss,control_loss,lr,elapsed_sec
269,2,115,34309,128,1.859365463256836,1.859365463256836,1.188045859336853,0.001,5.438776969909668
270,2,116,34437,128,2.2541329860687256,2.2541329860687256,0.9296714663505554,0.001,5.456549167633057
271,2,117,34565,128,1.9914138317108154,1.9914138317108154,0.957850992679596,0.001,5.474125385284424
272,2,118,34693,128,1.6140689849853516,1.6140689849853516,1.1708751916885376,0.001,5.491542816162109
273,2,119,34821,128,2.485220193862915,2.485220193862915,0.9530619382858276,0.001,5.50915265083313
274,2,120,34949,128,2.21335506439209,2.21335506439209,1.222522258758545,0.001,5.526882171630859
275,2,121,35077,128,2.34857439994812,2.34857439994812,0.9489813446998596,0.001,5.5442094802856445
276,2,122,35205,128,2.0635340213775635,2.0635340213775635,1.0590955018997192,0.001,5.561882257461548
277,2,123,35333,128,1.9139293432235718,1.9139293432235718,1.1034703254699707,0.001,5.580004692077637
278,2,124,35461,128,2.0196993350982666,2.0196993350982666,1.0109467506408691,0.001,5.5977654457092285
279,2,125,35589,128,1.7462397813796997,1.7462397813796997,1.6421079635620117,0.001,5.615325689315796
