global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
116,1,116,14848,128,26.93443489074707,26.913463592529297,0.023455103859305382,1.862560510635376,0.001,152.847895860672
117,1,117,14976,128,31.108592987060547,31.08708953857422,0.02570226602256298,1.8931889533996582,0.001,154.10370111465454
118,1,118,15104,128,28.40083885192871,28.379812240600586,0.023333609104156494,1.8693487644195557,0.001,155.36650323867798
119,1,119,15232,128,24.603252410888672,24.58236312866211,0.026343127712607384,1.8255897760391235,0.001,156.63079404830933
120,1,120,15360,128,23.29973793029785,23.279508590698242,0.02409312129020691,1.782120943069458,0.001,157.92460680007935
121,1,121,15488,128,25.865699768066406,25.845962524414062,0.023589609190821648,1.7378506660461426,0.001,159.29295778274536
122,1,122,15616,128,27.09183692932129,27.07255744934082,0.02241351082921028,1.7038096189498901,0.001,160.6126892566681
123,1,123,15744,128,25.108734130859375,25.089244842529297,0.025188464671373367,1.6970534324645996,0.001,161.88902378082275
124,1,124,15872,128,23.720888137817383,23.701269149780273,0.02430475503206253,1.718903660774231,0.001,163.19698190689087
125,1,125,16000,128,28.235946655273438,28.21535301208496,0.033216189593076706,1.7273823022842407,0.001,164.48465180397034
126,1,126,16128,128,29.84961700439453,29.83007049560547,0.021725622937083244,1.737487554550171,0.001,165.7838876247406
127,1,127,16256,128,28.205001831054688,28.18498420715332,0.026734013110399246,1.7344409227371216,0.001,167.060564994812
128,1,128,16384,128,31.946012496948242,31.92674446105957,0.020673738792538643,1.7200813293457031,0.001,168.35505414009094
129,1,129,16512,128,21.51514434814453,21.49586296081543,0.023764392361044884,1.6904984712600708,0.001,169.67434763908386
130,1,130,16640,128,25.66533088684082,25.645700454711914,0.025525519624352455,1.7078593969345093,0.001,170.9737491607666
131,1,131,16768,128,28.82329559326172,28.80343246459961,0.024156205356121063,1.7447525262832642,0.001,172.2698085308075
132,1,132,16896,128,29.529956817626953,29.509979248046875,0.026009857654571533,1.7375372648239136,0.001,173.56188297271729
133,1,133,17024,128,27.125253677368164,27.105789184570312,0.021406428888440132,1.7324950695037842,0.001,174.85501646995544
134,1,134,17152,128,23.85514259338379,23.835044860839844,0.025697147473692894,1.75285005569458,0.001,176.18848848342896
135,1,135,17280,128,23.987314224243164,23.96822166442871,0.020459607243537903,1.7045717239379883,0.001,177.5405433177948
136,1,136,17408,128,26.678993225097656,26.659765243530273,0.02290688268840313,1.693711519241333,0.001,178.83996844291687
137,1,137,17536,128,22.59556007385254,22.576698303222656,0.022090524435043335,1.6652573347091675,0.001,180.1534731388092
138,1,138,17664,128,29.27724266052246,29.257278442382812,0.03298134729266167,1.666736364364624,0.001,181.49234652519226
139,1,139,17792,128,27.435367584228516,27.416688919067383,0.02098745107650757,1.6580013036727905,0.001,182.83184337615967
140,1,140,17920,128,24.32759666442871,24.309062957763672,0.0216459222137928,1.6369624137878418,0.001,184.16705703735352
141,1,141,18048,128,28.967304229736328,28.948328018188477,0.022246060892939568,1.6751762628555298,0.001,185.5078706741333
142,1,142,18176,128,31.183406829833984,31.16424560546875,0.024948330596089363,1.6666430234909058,0.001,186.78085231781006
