global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
123,1,123,15744,128,27.12267303466797,27.10784339904785,0.027432937175035477,1.2087249755859375,0.001,157.17377471923828
124,1,124,15872,128,29.274730682373047,29.259565353393555,0.03079921565949917,1.2084541320800781,0.001,158.42833471298218
125,1,125,16000,128,29.613567352294922,29.598966598510742,0.026300419121980667,1.1969789266586304,0.001,159.66705083847046
126,1,126,16128,128,23.1058349609375,23.091773986816406,0.021047379821538925,1.1957311630249023,0.001,160.90513968467712
127,1,127,16256,128,26.8917293548584,26.877422332763672,0.024979447945952415,1.1808314323425293,0.001,162.21946120262146
128,1,128,16384,128,23.32806396484375,23.31412124633789,0.02235211245715618,1.1707006692886353,0.001,163.5173864364624
129,1,129,16512,128,27.596162796020508,27.582292556762695,0.02291022799909115,1.157889485359192,0.001,164.83595061302185
130,1,130,16640,128,28.22058868408203,28.20655059814453,0.02490016259253025,1.1548081636428833,0.001,166.11962223052979
131,1,131,16768,128,25.213897705078125,25.199804306030273,0.02504883147776127,1.1588951349258423,0.001,167.35079836845398
132,1,132,16896,128,24.223323822021484,24.209095001220703,0.027783691883087158,1.1449190378189087,0.001,168.63426995277405
133,1,133,17024,128,21.751850128173828,21.738012313842773,0.024154022336006165,1.1423691511154175,0.001,169.8246455192566
134,1,134,17152,128,27.024612426757812,27.01106071472168,0.022417426109313965,1.1311289072036743,0.001,171.09836173057556
135,1,135,17280,128,31.693492889404297,31.679140090942383,0.030858367681503296,1.1266424655914307,0.001,172.3824107646942
136,1,136,17408,128,25.945966720581055,25.93235206604004,0.0247529074549675,1.1139005422592163,0.001,173.64293217658997
137,1,137,17536,128,30.435020446777344,30.421276092529297,0.026648977771401405,1.1078962087631226,0.001,174.90873050689697
138,1,138,17664,128,25.800107955932617,25.786331176757812,0.02661454677581787,1.111514687538147,0.001,176.20555877685547
139,1,139,17792,128,25.441495895385742,25.427949905395508,0.024444371461868286,1.1101566553115845,0.001,177.4915189743042
140,1,140,17920,128,26.88231086730957,26.86884880065918,0.023506954312324524,1.1112148761749268,0.001,178.77083563804626
141,1,141,18048,128,25.1154727935791,25.10226821899414,0.021048083901405334,1.1098530292510986,0.001,180.00445103645325
142,1,142,18176,128,26.34894371032715,26.335487365722656,0.02522546611726284,1.0932183265686035,0.001,181.3089635372162
143,1,143,18304,128,30.423229217529297,30.409353256225586,0.029608959332108498,1.0915876626968384,0.001,182.5944287776947
144,1,144,18432,128,29.66737937927246,29.65389633178711,0.02642485871911049,1.084049940109253,0.001,183.83273673057556
145,1,145,18560,128,24.629140853881836,24.615732192993164,0.026062045246362686,1.0802301168441772,0.001,185.03643441200256
146,1,146,18688,128,23.75031280517578,23.73699378967285,0.02645973674952984,1.0672744512557983,0.001,186.29811072349548
147,1,147,18816,128,27.5408992767334,27.527969360351562,0.022374724969267845,1.0691697597503662,0.001,187.5581042766571
148,1,148,18944,128,29.058799743652344,29.045501708984375,0.02651156298816204,1.0647056102752686,0.001,188.8768928050995
149,1,149,19072,128,22.430858612060547,22.418134689331055,0.020520582795143127,1.067251443862915,0.001,190.1636757850647
150,1,150,19200,128,31.486080169677734,31.472681045532227,0.027277344837784767,1.067236065864563,0.001,191.40261006355286
151,1,151,19328,128,30.500917434692383,30.48772621154785,0.02523598074913025,1.0668230056762695,0.001,192.67046928405762
152,1,152,19456,128,33.271724700927734,33.25833511352539,0.02733672223985195,1.065544843673706,0.001,193.94135165214539
153,1,153,19584,128,25.886802673339844,25.87378692626953,0.02409346215426922,1.0606807470321655,0.001,195.2229709625244
154,1,154,19589,5,6.753206253051758,6.739562511444092,0.03011135943233967,1.0632363557815552,0.001,195.4100468158722
155,2,1,19717,128,23.524141311645508,23.51146125793457,0.021090323105454445,1.0570975542068481,0.001,238.24379587173462
156,2,2,19845,128,20.324737548828125,20.311071395874023,0.03038482740521431,1.0627762079238892,0.001,239.4892692565918
157,2,3,19973,128,23.91998291015625,23.907041549682617,0.023329678922891617,1.0609016418457031,0.001,240.7829351425171
158,2,4,20101,128,27.998905181884766,27.985570907592773,0.02652277611196041,1.0681791305541992,0.001,242.05611419677734
159,2,5,20229,128,28.528972625732422,28.515567779541016,0.026454223319888115,1.0759406089782715,0.001,243.35688877105713
160,2,6,20357,128,24.42816734313965,24.415264129638672,0.021365052089095116,1.0766832828521729,0.001,244.62785005569458
161,2,7,20485,128,29.344057083129883,29.33057975769043,0.026509946212172508,1.0825783014297485,0.001,245.90779399871826
162,2,8,20613,128,22.94195556640625,22.928646087646484,0.023717829957604408,1.093924641609192,0.001,247.22087216377258
163,2,9,20741,128,26.286563873291016,26.27284812927246,0.026952067390084267,1.1020089387893677,0.001,248.51133108139038
164,2,10,20869,128,27.322843551635742,27.308618545532227,0.03184998780488968,1.1038891077041626,0.001,249.77587246894836
165,2,11,20997,128,25.93505859375,25.92104148864746,0.029288841411471367,1.108673095703125,0.001,251.03716802597046
166,2,12,21125,128,26.79230499267578,26.77860450744629,0.025750700384378433,1.112548828125,0.001,252.34089636802673
167,2,13,21253,128,27.36332130432129,27.349834442138672,0.022883301600813866,1.1198383569717407,0.001,253.62220311164856
168,2,14,21381,128,22.013952255249023,22.000276565551758,0.024613847956061363,1.121457815170288,0.001,254.8922622203827
169,2,15,21509,128,29.596899032592773,29.58289337158203,0.02774357795715332,1.1231343746185303,0.001,256.2080252170563
170,2,16,21637,128,25.01656150817871,25.002670288085938,0.02653690055012703,1.1237878799438477,0.001,257.51576471328735
171,2,17,21765,128,21.140140533447266,21.12662124633789,0.02238803543150425,1.1280475854873657,0.001,258.7871148586273
172,2,18,21893,128,24.223220825195312,24.209856033325195,0.020168017596006393,1.1349433660507202,0.001,260.0719327926636
173,2,19,22021,128,26.517595291137695,26.50311279296875,0.030602753162384033,1.1423360109329224,0.001,261.3457956314087
174,2,20,22149,128,28.233366012573242,28.218955993652344,0.029929066076874733,1.1416763067245483,0.001,262.60863041877747
175,2,21,22277,128,26.88541030883789,26.87189292907715,0.020915551111102104,1.1424336433410645,0.001,263.8812780380249
176,2,22,22405,128,29.782283782958984,29.76822853088379,0.025986447930336,1.1456594467163086,0.001,265.17329955101013
177,2,23,22533,128,27.410017013549805,27.395267486572266,0.03322003036737442,1.1427700519561768,0.001,266.45060777664185
178,2,24,22661,128,22.865856170654297,22.851825714111328,0.026119327172636986,1.1419144868850708,0.001,267.72230529785156
179,2,25,22789,128,28.353891372680664,28.340240478515625,0.022747360169887543,1.1375415325164795,0.001,269.0277762413025
180,2,26,22917,128,28.213668823242188,28.19964599609375,0.026985282078385353,1.1323202848434448,0.001,270.3108825683594
181,2,27,23045,128,25.65590476989746,25.642101287841797,0.02495071105659008,1.1308356523513794,0.001,271.5857079029083
182,2,28,23173,128,28.1326961517334,28.118816375732422,0.025449469685554504,1.133585810661316,0.001,272.89559602737427
183,2,29,23301,128,27.794681549072266,27.78091812133789,0.02456093393266201,1.1305944919586182,0.001,274.1982514858246
184,2,30,23429,128,33.553749084472656,33.53980255126953,0.026878396049141884,1.1256130933761597,0.001,275.50588631629944
185,2,31,23557,128,25.530717849731445,25.516904830932617,0.02620917558670044,1.1192092895507812,0.001,276.8102140426636
186,2,32,23685,128,31.330114364624023,31.316381454467773,0.025640254840254784,1.1169779300689697,0.001,278.0892014503479
187,2,33,23813,128,23.490163803100586,23.47620391845703,0.028562668710947037,1.1103298664093018,0.001,279.4199016094208
188,2,34,23941,128,30.319786071777344,30.30580711364746,0.02868257835507393,1.1110081672668457,0.001,280.738760471344
189,2,35,24069,128,24.822208404541016,24.808385848999023,0.027717648074030876,1.1050459146499634,0.001,282.03514409065247
190,2,36,24197,128,19.28492546081543,19.27152442932129,0.024471580982208252,1.0953891277313232,0.001,283.3198528289795
191,2,37,24325,128,24.502660751342773,24.48957633972168,0.021967647597193718,1.0887343883514404,0.001,284.60699796676636
192,2,38,24453,128,22.230289459228516,22.216955184936523,0.024826236069202423,1.085053563117981,0.001,285.92811131477356
193,2,39,24581,128,24.39328384399414,24.37973403930664,0.027629384770989418,1.0785555839538574,0.001,287.22284483909607
194,2,40,24709,128,24.62552833557129,24.612703323364258,0.02153945527970791,1.0671614408493042,0.001,288.55446553230286
195,2,41,24837,128,21.33653450012207,21.323610305786133,0.023427993059158325,1.058123230934143,0.001,289.84725046157837
196,2,42,24965,128,23.825809478759766,23.81306266784668,0.022500362247228622,1.0495766401290894,0.001,291.11953115463257
197,2,43,25093,128,27.501123428344727,27.487760543823242,0.029106533154845238,1.0451714992523193,0.001,292.4199299812317
198,2,44,25221,128,22.260028839111328,22.2470645904541,0.02584768645465374,1.0380064249038696,0.001,293.7002053260803
